"id";"gender";"carType";"carCategory";"occupation";"age";"carGroup";"bonus";"carValue";"material";"subRegion";"region";"cityDensity";"claimValue"
29;"Male";"D";"Large";"Employed";31;11;-30;25920;1;"R36";"R";276,3355652;62,643771081
30;"Female";"C";"Small";"Employed";25;9;20;19520;0;"M6";"M";103,4727356;0
31;"Male";"C";"Medium";"Unemployed";36;17;-10;123315;0;"L20";"L";69,88926519;0
32;"Female";"C";"Large";"Self-employed";38;13;30;21450;1;"S25";"S";31,81625935;1018,6058854
33;"Male";"B";"Large";"Retired";75;18;30;19545;1;"U9";"U";121,5870219;0
34;"Male";"C";"Small";"Employed";28;14;-40;19210;1;"Q65";"Q";77,73738533;0
35;"Male";"D";"Large";"Unemployed";41;13;-50;14650;1;"Q11";"Q";73,18307109;0
36;"Male";"E";"Small";"Retired";66;6;-40;6840;1;"M9";"M";156,6298557;0
37;"Male";"B";"Small";"Employed";34;16;50;9185;0;"S23";"S";15,70531045;0
38;"Male";"E";"Medium";"Retired";53;14;-50;43260;1;"Q51";"Q";141,4896565;0
39;"Male";"D";"Medium";"Self-employed";48;2;-30;24810;0;"U4";"U";114,881582;0
40;"Male";"A";"Large";"Unemployed";56;14;-50;8110;1;"R38";"R";284,2162652;0
41;"Female";"A";"Medium";"Self-employed";56;9;-50;6315;1;"T12";"T";24,81697854;0
42;"Male";"A";"Small";"Employed";40;17;40;26085;1;"T31";"T";35,78808354;267,51965898
43;"Female";"D";"Large";"Employed";32;9;10;18885;1;"T32";"T";19,81848038;0
44;"Male";"A";"Small";"Housewife";33;13;-10;15865;1;"Q30";"Q";222,2151274;24,35050085
45;"Female";"F";"Large";"Employed";47;14;-50;23760;0;"L50";"L";84,06770437;0
46;"Male";"B";"Medium";"Employed";18;14;0;25630;0;"N20";"N";93,11048718;807,15703578
47;"Male";"E";"Medium";"Employed";18;12;0;8395;0;"Q37";"Q";148,5612071;0
48;"Female";"C";"Small";"Unemployed";30;14;30;46505;1;"U20";"U";58,60474559;0
49;"Male";"E";"Small";"Housewife";43;15;150;4100;1;"R11";"R";259,0040603;547,41351764
50;"Male";"F";"Medium";"Housewife";49;8;-40;19220;0;"U13";"U";112,8034383;0
51;"Female";"A";"Small";"Employed";36;18;-50;33240;0;"Q45";"Q";98,10372854;0
52;"Female";"D";"Small";"Housewife";46;10;-40;2390;1;"Q30";"Q";222,2151274;3212,0997718
53;"Male";"A";"Small";"Employed";55;11;0;29870;1;"S20";"S";34,15043101;0
54;"Female";"A";"Medium";"Housewife";23;7;-10;1815;0;"P3";"P";34,88186234;0
55;"Female";"B";"Medium";"Housewife";32;12;-50;41545;0;"R27";"R";250,8413259;524,542514653
56;"Male";"B";"Medium";"Self-employed";57;13;-0,1;44045;1;"N12";"N";133,2886429;0
57;"Male";"B";"Large";"Housewife";28;9;30;5635;1;"S25";"S";31,81625935;0
58;"Male";"B";"Medium";"Self-employed";33;8;80;30625;0;"M1";"M";107,8170529;0
59;"Female";"E";"Medium";"Employed";44;12;70;9900;1;"T4";"T";23,97168003;0
60;"Female";"C";"Small";"Housewife";51;8;-30;13375;0;"L18";"L";58,91132801;945,17407356
61;"Female";"F";"Medium";"Employed";25;7;-10;5145;0;"Q15";"Q";147,9690558;0
62;"Female";"D";"Large";"Employed";45;7;-50;9310;0;"R8";"R";253,6198858;1255,1821674
63;"Female";"A";"Medium";"Unemployed";37;8;-30;20445;1;"R20";"R";290,1327193;564,8297682
64;"Male";"D";"Small";"Self-employed";41;14;60;7270;1;"L52";"L";73,25249905;0
65;"Male";"D";"Large";"Retired";48;20;-50;26455;0;"L124";"L";64,09908451;0
66;"Male";"D";"Medium";"Employed";32;12;50;15090;0;"N17";"N";137,8151761;634,30220179
67;"Male";"A";"Large";"Housewife";53;8;40;14305;0;"R9";"R";251,432848;19,910679237
68;"Male";"C";"Large";"Employed";34;9;20;9685;1;"R47";"R";249,7835716;0
69;"Male";"A";"Medium";"Self-employed";39;17;70;45600;1;"O32";"O";32,3905212;7444,4825807
70;"Male";"B";"Large";"Employed";30;10;-10;12025;1;"T16";"T";56,04309848;0
71;"Male";"B";"Medium";"Housewife";19;7;20;37320;1;"R32";"R";232,9029787;78,861046569
72;"Female";"A";"Medium";"Housewife";42;17;-50;21500;1;"L96";"L";45,66982293;0
73;"Male";"B";"Small";"Retired";48;13;-50;5125;0;"R41";"R";240,0004036;0
74;"Male";"E";"Medium";"Employed";26;15;10;17295;1;"M15";"M";162,9324677;0
75;"Male";"A";"Large";"Unemployed";42;9;-30;9845;1;"L8";"L";59,70218923;0
76;"male";"E";"Large";"Housewife";36;17;-20;17755;0;"Q20";"Q";181,4165594;0
77;"Male";"D";"Large";"Self-employed";41;8;80;21985;1;"Q44";"Q";150,2239631;0
78;"Female";"C";"Large";"Self-employed";44;8;60;9970;1;"L78";"L";82,67020711;0
79;"Male";"C";"Medium";"Self-employed";36;15;-20;8660;1;"Q33";"Q";129,6690079;93,245803118
80;"Female";"D";"Medium";"Housewife";54;11;-50;47830;0;"O9";"O";30,90727239;0
81;"Female";"B";"Small";"Employed";35;17;-50;4495;0;"L50";"L";84,06770437;1913,9686268
82;"Male";"C";"Small";"Unemployed";19;6;0;14665;1;"R49";"R";208,8164363;0
83;"Male";"B";"Medium";"Self-employed";34;13;-40;17795;1;"P4";"P";19,2833619;0
84;"Male";"D";"Small";"Housewife";32;14;110;16515;1;"P13";"P";24,01754355;729,9302638
85;"Male";"B";"Large";"Retired";72;14;-30;22975;0;"R26";"R";295,7970919;0
86;"Male";"A";"Large";"Retired";61;16;-30;13870;1;"L93";"L";63,89430992;0
87;"Male";"E";"Small";"Employed";28;4;10;6390;0;"R19";"R";272,9669948;0
88;"Male";"A";"Medium";"Employed";22;12;-20;20425;0;"M13";"M";184,4785165;0
89;"Male";"D";"Medium";"Self-employed";46;3;-50;2615;1;"S22";"S";38,33660541;0
90;"Female";"A";"Large";"Retired";74;12;-30;118390;1;"Q30";"Q";222,2151274;0
91;"male";"B";"Large";"Retired";46;5;-50;23390;0;"N17";"N";137,8151761;0
92;"Female";"A";"Medium";"Employed";34;1;-30;41740;0;"L47";"L";66,76541883;0
93;"Male";"D";"Medium";"Employed";58;12;-50;9245;1;"P22";"P";33,67123926;0
94;"male";"D";"Medium";"Employed";26;2;40;5570;0;"R27";"R";250,8413259;1086,2225822
95;"Female";"A";"Medium";"Retired";58;13;-40;9330;1;"N10";"N";139,6062055;0
96;"Female";"B";"Small";"Self-employed";30;10;-50;11710;0;"R3";"R";200,6565503;0
97;"Male";"A";"Medium";"Retired";65;16;-40;16860;0;"M20";"M";148,9956325;0
98;"Male";"A";"Medium";"Employed";26;10;-30;2915;0;"R10";"R";249,8117276;0
99;"Male";"A";"Large";"Unemployed";30;12;50;33340;0;"L51";"L";57,32800859;0
100;"Female";"C";"Large";"Employed";29;14;40;2145;0;"Q47";"Q";208,6667182;631,56226673
101;"Male";"B";"Medium";"Employed";23;6;-40;7565;0;"Q14";"Q";160,3435748;0
102;"Male";"A";"Large";"Self-employed";73;8;-10;6330;0;"T20";"T";22,24129416;0
103;"Male";"E";"Large";"Retired";52;1;30;10325;1;"T13";"T";30,79695284;0
104;"Male";"D";"Large";"Employed";47;12;-30;11065;0;"U20";"U";58,60474559;0
105;"Female";"A";"Small";"Housewife";29;8;-40;12270;0;"O1";"O";36,25444122;0
106;"Male";"A";"Medium";"Housewife";22;11;60;13430;0;"L89";"L";64,12305444;0
107;"Male";"C";"Medium";"Unemployed";41;1;120;7685;0;"L17";"L";61,30612555;0
108;"Male";"D";"Medium";"Employed";47;16;-50;147980;0;"L42";"L";68,95196256;164,49399673
109;"Male";"E";"Small";"Housewife";45;14;0;1450;0;"R40";"R";284,9991194;188,31456072
110;"Male";"A";"Small";"Retired";69;7;-10;17440;1;"N25";"N";25,83086908;0
111;"Female";"A";"Small";"Housewife";34;12;-50;12445;0;"Q12";"Q";167,9366556;0,7832557078
112;"Male";"B";"Large";"Employed";26;14;50;21040;0;"L45";"L";62,72127383;0
113;"Female";"C";"Medium";"Employed";35;12;10;10100;1;"T9";"T";31,09742125;872,54421545
114;"Male";"B";"Small";"Housewife";19;11;-10;8890;1;"Q39";"Q";171,3729361;0
115;"Female";"B";"Medium";"Retired";127;12;110;29290;0;"O19";"O";32,04149695;0
116;"Male";"F";"Large";"Housewife";60;11;-50;10110;1;"Q61";"Q";136,1308048;0
117;"Male";"B";"Medium";"Housewife";47;6;-10;8925;1;"L39";"L";68,9093508;0
118;"Female";"B";"Medium";"Self-employed";22;13;20;11995;0;"L105";"L";60,07300249;1525,2035993
119;"male";"A";"Large";"Self-employed";43;3;-20;21060;0;"L77";"L";71,51212062;0
120;"Male";"A";"Large";"Self-employed";41;5;-40;2220;0;"U1";"U";33,29429778;0
121;"Male";"A";"Large";"Housewife";70;17;-50;21450;0;"R50";"R";223,3475567;1337,6899914
122;"Female";"F";"Medium";"Unemployed";38;10;30;9000;1;"U3";"U";94,65751646;643,93613979
123;"Male";"B";"Medium";"Unemployed";55;17;-30;49060;1;"L103";"L";84,00797156;0
124;"Male";"A";"Large";"Retired";67;17;-0,1;19190;1;"M21";"M";102,818883;0
125;"Male";"C";"Medium";"Unemployed";38;12;70;6870;1;"T20";"T";22,24129416;0
126;"Female";"C";"Small";"Housewife";19;18;0;29400;1;"M12";"M";216,4916013;6647,388481605
127;"Male";"B";"Medium";"Unemployed";41;13;40;15295;1;"Q52";"Q";168,6499611;0
128;"Female";"D";"Medium";"Employed";39;5;-50;1385;1;"Q30";"Q";222,2151274;0
129;"Male";"D";"Large";"Housewife";44;10;-30;1070;1;"L83";"L";69,72819603;0
130;"Male";"D";"Medium";"Employed";29;13;-40;15700;0;"U3";"U";94,65751646;0
131;"Male";"C";"Small";"Employed";22;6;-10;1970;0;"U15";"U";59,40378524;321,94014082
132;"Female";"F";"Medium";"Employed";18;14;0;6125;1;"N23";"N";77,49504574;33412,470321
133;"Female";"A";"Medium";"Self-employed";32;7;10;8920;0;"M16";"M";129,4194752;0
134;"Male";"C";"Large";"Retired";73;9;-30;24525;0;"Q50";"Q";139,2056697;0
135;"Female";"C";"Small";"Housewife";24;15;-50;8980;0;"L9";"L";51,09148195;0
136;"Male";"A";"Small";"Employed";23;7;-30;18530;1;"N26";"N";33,65195213;0
137;"Male";"A";"Medium";"Unemployed";29;8;-50;28275;1;"M12";"M";216,4916013;364,83384037
138;"Male";"D";"Small";"Unemployed";34;11;-10;20470;0;"O32";"O";32,3905212;0
139;"Male";"D";"Medium";"Employed";44;12;-30;20025;1;"Q52";"Q";168,6499611;0
140;"Female";"B";"Large";"Unemployed";25;7;60;16610;0;"L92";"L";73,85052034;0
141;"Female";"D";"Large";"Unemployed";27;13;-40;38025;0;"Q24";"Q";222,735365;2145,57149973
142;"Male";"D";"Medium";"Housewife";106;14;-10;15575;1;"R17";"R";221,7063984;0
143;"Male";"A";"Large";"Retired";53;9;-30;14890;1;"P15";"P";25,63801996;0
144;"Male";"B";"Medium";"Retired";69;7;-40;11185;1;"Q61";"Q";136,1308048;0
145;"Female";"F";"Large";"Housewife";30;2;20;9920;0;"L51";"L";57,32800859;0
146;"Male";"A";"Medium";"Employed";46;17;-50;24530;0;"R21";"R";275,2822626;0
147;"Male";"A";"Small";"Unemployed";19;13;0;16520;0;"N22";"N";100,833778;629,65847163
148;"Male";"E";"Large";"Employed";39;7;-20;21960;0;"R22";"R";270,4632326;518,02485402
149;"Male";"C";"Small";"Employed";22;11;80;8040;0;"M16";"M";129,4194752;1479,1753359
150;"Female";"F";"Medium";"Housewife";30;9;-10;13920;1;"R24";"R";225,1417422;0
151;"Male";"D";"Small";"Employed";25;16;20;16520;0;"R37";"R";276,9454965;0
152;"Male";"C";"Medium";"Employed";25;15;-30;6375;1;"Q29";"Q";239,4551701;0
153;"Male";"B";"Large";"Housewife";59;11;60;14945;1;"M4";"M";190,0515645;0
154;"Male";"C";"Medium";"Housewife";32;9;-50;18270;1;"M2";"M";139,2830008;0
155;"Female";"D";"Small";"Housewife";27;16;-10;8785;1;"P34";"P";47,5930722;54,294308459
156;"Male";"A";"Large";"Retired";69;20;-50;19375;1;"M18";"M";99,28308074;0
157;"Male";"D";"Medium";"Employed";59;13;-40;19040;1;"Q23";"Q";205,4307964;0
158;"Male";"C";"Medium";"Housewife";73;18;-40;19100;1;"L62";"L";66,69447337;3848,5037383
159;"Male";"D";"Small";"Employed";28;18;-50;43400;0;"Q22";"Q";144,998902;668,46065786
160;"Male";"D";"Large";"Retired";64;14;-20;17695;0;"T34";"T";30,41139927;0
161;"Male";"D";"Small";"Employed";36;12;90;9705;1;"Q62";"Q";91,45292269;0
162;"Female";"D";"Medium";"Self-employed";51;12;-40;18665;1;"N14";"N";59,92134979;0
163;"male";"C";"Small";"Employed";20;18;-10;16325;1;"L22";"L";53,43201088;60,343662517
164;"Male";"B";"Medium";"Employed";94;16;-50;10405;1;"M20";"M";148,9956325;0
165;"Male";"E";"Medium";"Unemployed";32;12;-0,3;19630;0;"R34";"R";276,9950185;62,290499624
166;"Male";"D";"Large";"Employed";38;7;0;14550;0;"Q29";"Q";239,4551701;3527,25949893
167;"Male";"A";"Large";"Self-employed";60;11;-30;4500;1;"O9";"O";30,90727239;528,43716595
168;"Male";"C";"Large";"Unemployed";29;18;-50;8805;0;"R11";"R";259,0040603;0
169;"Male";"C";"Medium";"Self-employed";31;15;-30;48435;0;"Q46";"Q";174,6445246;1925,1254593
170;"Male";"C";"Medium";"Unemployed";50;13;0;25980;0;"L62";"L";66,69447337;0
171;"Female";"C";"Medium";"Unemployed";75;7;0;1580;0;"Q42";"Q";148,4945135;0
172;"Female";"C";"Large";"Housewife";47;12;-40;7835;1;"O21";"O";37,74768396;0
173;"Male";"D";"Medium";"Housewife";73;17;-40;5930;1;"S22";"S";38,33660541;0
174;"Male";"E";"Small";"Employed";60;11;-40;5530;1;"U10";"U";137,8873343;0
175;"Female";"B";"Large";"Retired";73;8;-50;23685;1;"R45";"R";225,0430894;0
176;"Male";"E";"Small";"Self-employed";49;12;-50;6795;1;"Q6";"Q";70,86106124;0
177;"Female";"B";"Large";"Unemployed";18;17;0;28685;0;"Q53";"Q";129,8552354;3591,9236043
178;"Male";"B";"Large";"Housewife";29;20;-20;26420;1;"N13";"N";94,29603751;1583,5356834
179;"Male";"D";"Large";"Employed";41;13;-50;5545;1;"Q52";"Q";168,6499611;30,986528903
180;"Male";"C";"Large";"Housewife";54;20;-30;22075;1;"S13";"S";17,8799582;0
181;"Male";"C";"Large";"Retired";68;12;-50;116455;0;"R24";"R";225,1417422;0
182;"Female";"B";"Medium";"Employed";36;9;-40;16580;0;"R21";"R";275,2822626;756,42057058
183;"Male";"C";"Small";"Housewife";57;9;-30;22345;0;"R24";"R";225,1417422;0
184;"Female";"E";"Medium";"Employed";58;14;-10;20490;0;"L129";"L";57,41329485;0
185;"Female";"F";"Medium";"Employed";51;11;60;18185;1;"S37";"S";33,73278519;0
186;"Male";"E";"Small";"Employed";60;9;-10;18770;0;"M4";"M";190,0515645;1697,6236801
187;"Male";"B";"Large";"Employed";29;11;10;25870;0;"O19";"O";32,04149695;765,23351822
188;"Female";"A";"Medium";"Retired";48;9;-30;20005;0;"U10";"U";137,8873343;4597,9059217
189;"Male";"D";"Small";"Employed";22;11;-30;8415;1;"L38";"L";48,57528403;0
190;"Female";"A";"Large";"Retired";75;11;-30;19295;1;"M8";"M";128,5434648;0
191;"Female";"E";"Small";"Unemployed";33;8;-50;18995;1;"L85";"L";61,51657295;411,48672571
192;"Male";"C";"Medium";"Employed";28;15;10;43985;0;"Q46";"Q";174,6445246;101,57564419
193;"Female";"A";"Small";"Employed";39;10;10;18585;1;"S30";"S";35,57652753;0
194;"Female";"C";"Small";"Employed";82;4;-50;1060;0;"N23";"N";77,49504574;0
195;"Male";"E";"Medium";"Self-employed";18;20;0;4725;0;"Q5";"Q";99,6400095;204,4523536
196;"Male";"A";"Medium";"Housewife";42;7;20;2185;1;"L116";"L";100,3048589;60,669643526
197;"Male";"F";"Small";"Unemployed";20;11;10;8620;0;"S6";"S";32,3065089;151,8325932
198;"Male";"A";"Medium";"Unemployed";32;2;40;6240;1;"O10";"O";25,14133101;201,20841667
199;"Male";"D";"Large";"Self-employed";39;16;-10;8065;0;"T20";"T";22,24129416;0
200;"Male";"B";"Small";"Housewife";26;16;30;8810;1;"Q31";"Q";185,1345389;0
201;"Male";"D";"Medium";"Employed";31;17;-30;25245;0;"R3";"R";200,6565503;0
202;"Male";"E";"Small";"Self-employed";30;19;50;38960;1;"S16";"S";36,54775004;9,8142154736
203;"Female";"A";"Large";"Unemployed";77;5;60;1015;0;"T21";"T";29,82213153;9029,84879278
204;"Male";"A";"Small";"Housewife";65;2;-10;22815;0;"Q13";"Q";166,5549379;672,50124801
205;"Female";"E";"Medium";"Employed";28;14;-40;37270;1;"Q33";"Q";129,6690079;0
206;"Female";"A";"Medium";"Self-employed";39;11;90;27785;0;"L83";"L";69,72819603;1722,3378228
207;"Male";"D";"Small";"Unemployed";35;18;90;29495;1;"R48";"R";238,240414;0
208;"Male";"D";"Large";"Self-employed";70;18;-30;31275;0;"U9";"U";121,5870219;0
209;"Male";"B";"Medium";"Housewife";90;8;-50;5680;0;"R10";"R";249,8117276;0
210;"Male";"A";"Large";"Self-employed";56;15;-20;11650;1;"N16";"N";47,98269849;3870,6492616
211;"Male";"C";"Small";"Self-employed";44;5;60;7620;0;"S29";"S";27,01981982;0
212;"Female";"B";"Small";"Employed";20;17;20;29005;0;"L24";"L";63,50810856;0
213;"Female";"D";"Small";"Self-employed";33;17;110;20995;0;"Q29";"Q";239,4551701;495,31494083
214;"Female";"A";"Large";"Employed";44;5;110;17235;0;"N22";"N";100,833778;0
215;"Male";"A";"Small";"Employed";82;12;-40;18010;0;"Q20";"Q";181,4165594;0
216;"Female";"A";"Medium";"Housewife";27;1;50;9975;0;"N11";"N";88,89623143;0
217;"Female";"E";"Small";"Self-employed";31;17;10;29390;1;"O17";"O";24,11879116;0
218;"Female";"B";"Small";"Retired";54;17;-50;27100;0;"L71";"L";120,7793723;0
219;"Female";"A";"Small";"Employed";28;14;-0,5;22065;1;"Q27";"Q";122,4496948;121,63197037
220;"Male";"B";"Large";"Unemployed";50;11;-40;41965;1;"Q7";"Q";83,76263662;0
221;"Female";"D";"Small";"Employed";23;17;-20;11875;0;"R33";"R";297,3851697;0
222;"Male";"A";"Large";"Employed";38;6;-50;2845;0;"M17";"M";201,6569069;0
223;"Male";"B";"Medium";"Employed";18;10;0;16475;1;"P8";"P";23,21820596;0
224;"Female";"A";"Medium";"Employed";52;14;-30;6195;0;"L97";"L";63,82886936;0
225;"Male";"D";"Medium";"Housewife";25;9;70;42875;1;"M21";"M";102,818883;0
226;"Male";"B";"Medium";"Housewife";65;5;0;23455;1;"S23";"S";15,70531045;0
227;"Female";"D";"Large";"Housewife";47;19;110;19410;1;"R27";"R";250,8413259;0
228;"Male";"C";"Medium";"Unemployed";39;7;0,2;9615;1;"L71";"L";120,7793723;0
229;"Male";"A";"Small";"Housewife";20;9;10;7360;0;"Q7";"Q";83,76263662;3,3560674209
230;"Female";"B";"Large";"Self-employed";42;6;-40;20090;0;"S16";"S";36,54775004;0
231;"Female";"D";"Small";"Housewife";24;17;-40;18020;0;"S5";"S";24,84670738;0
232;"Female";"A";"Small";"Unemployed";43;11;60;9925;1;"Q52";"Q";168,6499611;0
233;"male";"F";"Medium";"Housewife";33;9;20;8895;0;"R18";"R";284,1301175;217,40207213
234;"Female";"C";"Small";"Employed";40;12;-50;8485;1;"P3";"P";34,88186234;420,8040795
235;"Male";"A";"Small";"Unemployed";58;12;-40;11515;1;"U8";"U";125,1320458;2421,1714178
236;"Female";"A";"Small";"Employed";18;12;0;7005;0;"L120";"L";59,22386837;0
237;"Male";"B";"Large";"Retired";67;16;-50;26845;1;"Q62";"Q";91,45292269;0
238;"Male";"A";"Medium";"Housewife";36;13;-30;8055;0;"L102";"L";58,30755679;0
239;"Male";"E";"Large";"Retired";50;14;-40;49560;0;"Q54";"Q";124,2334338;0
240;"Male";"B";"Small";"Self-employed";45;10;-50;21400;0;"O19";"O";32,04149695;0
241;"Male";"B";"Medium";"Unemployed";21;4;-10;12780;0;"R25";"R";270,874006;347,37167816
242;"Male";"D";"Small";"Employed";30;6;140;15745;1;"Q48";"Q";186,6850127;685,34805893
243;"Male";"A";"Small";"Housewife";27;15;-10;18350;0;"M19";"M";183,8950396;653,65558505
244;"Male";"B";"Small";"Housewife";42;6;-50;17640;0;"Q51";"Q";141,4896565;0
245;"Female";"B";"Medium";"Employed";25;1;-20;13595;1;"L3";"L";45,65564192;0
246;"Male";"C";"Medium";"Unemployed";39;10;-20;14185;1;"P30";"P";23,12027888;0
247;"Male";"D";"Small";"Employed";21;10;10;29280;0;"Q6";"Q";70,86106124;0
248;"Male";"A";"Large";"Housewife";47;18;70;15130;1;"Q19";"Q";157,245582;0
249;"Male";"A";"Large";"Housewife";49;15;-20;16300;0;"L125";"L";44,16537902;0
250;"Male";"D";"Large";"Employed";32;18;10;2250;1;"L105";"L";60,07300249;0
251;"Female";"A";"Medium";"Employed";40;10;10;8840;0;"L91";"L";63,5211087;0
252;"Male";"D";"Large";"Employed";34;12;40;10120;0;"L16";"L";66,46782671;0
253;"Female";"B";"Medium";"Unemployed";28;13;-50;8340;1;"Q6";"Q";70,86106124;0
254;"Female";"B";"Medium";"Employed";34;7;-50;7760;1;"Q9";"Q";139,637282;0
255;"Female";"F";"Small";"Employed";39;14;40;29610;1;"T17";"T";32,99314961;0
256;"Female";"E";"Small";"Employed";22;12;-20;19220;0;"Q25";"Q";140,4108252;260,1663653
257;"Female";"C";"Large";"Employed";110;18;-30;14025;1;"R5";"R";258,9237292;0
258;"Male";"D";"Small";"Employed";24;5;-10;11250;1;"O38";"O";39,55041059;0
259;"Male";"B";"Small";"Employed";20;12;10;11255;0;"O29";"O";34,81202424;1693,0987435
260;"Male";"C";"Small";"Employed";24;10;-10;9635;0;"R29";"R";291,3194903;558,30319474
261;"Male";"A";"Medium";"Housewife";40;8;-40;8670;0;"Q9";"Q";139,637282;0
262;"Female";"B";"Medium";"Employed";80;6;20;1325;0;"L30";"L";62,06252553;0
263;"Female";"A";"Large";"Employed";49;12;-50;17645;0;"Q26";"Q";237,675525;0
264;"Female";"F";"Large";"Retired";122;1;-10;7995;0;"N17";"N";137,8151761;1722,0346856
265;"Female";"B";"Medium";"Housewife";45;16;-40;2910;1;"M11";"M";156,1042255;0
266;"Male";"E";"Large";"Self-employed";32;12;-10;8090;0;"Q6";"Q";70,86106124;0
267;"Male";"A";"Small";"Unemployed";22;14;-20;19065;0;"L86";"L";50,6257826;35523,248938
268;"Male";"C";"Medium";"Housewife";37;9;-40;14355;1;"S21";"S";14,37714238;0
269;"Male";"C";"Large";"Housewife";81;5;-30;13475;1;"M11";"M";156,1042255;376,02351736
270;"male";"B";"Large";"Employed";45;8;-30;8030;1;"M13";"M";184,4785165;0
271;"Female";"B";"Small";"Unemployed";37;7;0,2;16175;0;"L16";"L";66,46782671;0
272;"male";"C";"Small";"Unemployed";45;6;10;12925;1;"U19";"U";61,79475865;0
273;"Male";"E";"Large";"Employed";34;14;50;118550;0;"U1";"U";33,29429778;532,82929849
274;"Female";"E";"Medium";"Self-employed";48;11;-50;9665;1;"R27";"R";250,8413259;0
275;"Female";"B";"Large";"Housewife";60;9;0;21785;0;"Q27";"Q";122,4496948;0
276;"Female";"A";"Large";"Employed";96;3;-30;9525;1;"M19";"M";183,8950396;0
277;"Male";"B";"Medium";"Unemployed";51;9;-30;17420;0;"Q23";"Q";205,4307964;0
278;"Female";"B";"Medium";"Housewife";41;8;-30;37265;0;"Q1";"Q";114,1413271;0
279;"Male";"B";"Medium";"Employed";28;10;-50;20335;0;"Q22";"Q";144,998902;0
280;"Female";"C";"Small";"Housewife";26;6;0;4900;0;"M5";"M";162,666477;0
281;"Female";"A";"Medium";"Retired";69;15;-50;7010;1;"L83";"L";69,72819603;0
282;"Male";"E";"Small";"Housewife";22;7;-10;38820;0;"U21";"U";88,29014956;460,16591837
283;"Male";"D";"Medium";"Employed";30;7;-30;25455;0;"T17";"T";32,99314961;0
284;"Male";"A";"Large";"Retired";55;9;-40;18420;1;"Q30";"Q";222,2151274;0
285;"Male";"D";"Small";"Employed";31;3;70;105355;0;"N24";"N";26,14074792;0
286;"male";"D";"Medium";"Self-employed";37;16;-50;5050;0;"N15";"N";113,2248348;0
287;"Male";"A";"Medium";"Self-employed";45;20;50;20295;1;"L50";"L";84,06770437;0
288;"Male";"D";"Medium";"Housewife";31;10;10;14360;0;"S32";"S";25,26137811;0
289;"Female";"D";"Medium";"Employed";37;8;-30;29875;1;"M19";"M";183,8950396;0
290;"Female";"D";"Small";"Retired";53;8;140;11850;0;"L77";"L";71,51212062;0
291;"Male";"C";"Small";"Employed";58;18;-50;18610;1;"R47";"R";249,7835716;0
292;"Male";"D";"Small";"Employed";26;8;20;35320;0;"L14";"L";71,78834285;0
